"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-27 10:09:08",1764238148330,"omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app/","GET","",-1,"qrdh4-1764238147583-98a9017ac006","vercel-favicon/1.0","error","production","main","","lambda","/app.js","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","dpl_4wEcpgF3YhRsvXtnwbC9ivh1gexa",-1,"iad1",-1,-1,"Unhandled Rejection: Error: querySrv ENOTFOUND _mongodb._tcp.cluster.mongodb.net
    at QueryReqWrap.onresolve [as oncomplete] (node:internal/dns/promises:294:17)","prj_qLiDwWP5oP9tBh8BODDush6bcdIy","","","01KB2CKG1TY9N9P0SKNGQK1ZYZ","",-1
"2025-11-27 10:09:07",1764238147642,"omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app/","GET","",500,"qrdh4-1764238147583-98a9017ac006","vercel-favicon/1.0","error","production","main","","lambda","/app.js","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","dpl_4wEcpgF3YhRsvXtnwbC9ivh1gexa",724,"iad1",145,2048,"","prj_qLiDwWP5oP9tBh8BODDush6bcdIy","","","01KB2CKG1TY9N9P0SKNGQK1ZYZ","KfBJQnqOMJT1",1
"2025-11-27 10:09:06",1764238146544,"omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app/","GET","",-1,"xpj57-1764238146428-828a53dda5b2","vercel-favicon/1.0","fatal","production","main","","lambda","/app.js","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","dpl_4wEcpgF3YhRsvXtnwbC9ivh1gexa",-1,"iad1",-1,-1,"Node.js process exited with exit status: 128. The logs above can help with debugging the issue.","prj_qLiDwWP5oP9tBh8BODDush6bcdIy","","","01KB2CKEXCFZEBJMC4M28F6HMK","",-1
"2025-11-27 10:09:06",1764238146544,"omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app/","GET","",-1,"xpj57-1764238146428-828a53dda5b2","vercel-favicon/1.0","error","production","main","","lambda","/app.js","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","dpl_4wEcpgF3YhRsvXtnwbC9ivh1gexa",-1,"iad1",-1,-1,"Error: Failed to lookup view ""warning"" in views directory ""/var/task/views""
    at app.render (/var/task/node_modules/express/lib/application.js:580:17)
    at ServerResponse.render (/var/task/node_modules/express/lib/response.js:1008:7)
    at /var/task/routes/index.js:100:9
    at Layer.handle [as handle_request] (/var/task/node_modules/express/lib/router/layer.js:95:5)
    at next (/var/task/node_modules/express/lib/router/route.js:137:13)
    at Route.dispatch (/var/task/node_modules/express/lib/router/route.js:112:3)
    at Layer.handle [as handle_request] (/var/task/node_modules/express/lib/router/layer.js:95:5)
    at /var/task/node_modules/express/lib/router/index.js:281:22
    at router.process_params (/var/task/node_modules/express/lib/router/index.js:335:12)
    at next (/var/task/node_modules/express/lib/router/index.js:275:10)","prj_qLiDwWP5oP9tBh8BODDush6bcdIy","","","01KB2CKEXCFZEBJMC4M28F6HMK","",-1
"2025-11-27 10:09:06",1764238146526,"omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app/","GET","",-1,"xpj57-1764238146428-828a53dda5b2","vercel-favicon/1.0","info","production","main","","lambda","/app.js","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","dpl_4wEcpgF3YhRsvXtnwbC9ivh1gexa",-1,"iad1",-1,-1,"[0mGET / [31m500 [0m14.702 ms - 148[0m","prj_qLiDwWP5oP9tBh8BODDush6bcdIy","","","01KB2CKEXCFZEBJMC4M28F6HMK","",-1
"2025-11-27 10:09:06",1764238146497,"omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app/","GET","",-1,"xpj57-1764238146428-828a53dda5b2","vercel-favicon/1.0","info","production","main","","lambda","/app.js","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","dpl_4wEcpgF3YhRsvXtnwbC9ivh1gexa",-1,"iad1",-1,-1,"Warning: connect.session() MemoryStore is notdesigned for a production environment, as it will leakmemory, and will not scale past a single process.","prj_qLiDwWP5oP9tBh8BODDush6bcdIy","","","01KB2CKEXCFZEBJMC4M28F6HMK","",-1
"2025-11-27 10:09:06",1764238146497,"omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app/","GET","",-1,"xpj57-1764238146428-828a53dda5b2","vercel-favicon/1.0","error","production","main","","lambda","/app.js","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","dpl_4wEcpgF3YhRsvXtnwbC9ivh1gexa",-1,"iad1",-1,-1,"Unhandled Rejection: Error: querySrv ENOTFOUND _mongodb._tcp.cluster.mongodb.net
    at QueryReqWrap.onresolve [as oncomplete] (node:internal/dns/promises:294:17)","prj_qLiDwWP5oP9tBh8BODDush6bcdIy","","","01KB2CKEXCFZEBJMC4M28F6HMK","",-1
"2025-11-27 10:09:06",1764238146476,"omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app/","GET","",500,"xpj57-1764238146428-828a53dda5b2","vercel-favicon/1.0","error","production","main","","lambda","/app.js","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","dpl_4wEcpgF3YhRsvXtnwbC9ivh1gexa",88,"iad1",148,2048,"","prj_qLiDwWP5oP9tBh8BODDush6bcdIy","","","01KB2CKEXCFZEBJMC4M28F6HMK","SXMhbhDNbXG6",1
"2025-11-27 10:08:19",1764238099578,"omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app/favicon.ico","GET","",-1,"dknv6-1764238098660-4ca7ca6b7eb6","vercel-screenshot/1.0","fatal","production","main","","lambda","/app.js","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","dpl_4wEcpgF3YhRsvXtnwbC9ivh1gexa",-1,"iad1",-1,-1,"Node.js process exited with exit status: 128. The logs above can help with debugging the issue.","prj_qLiDwWP5oP9tBh8BODDush6bcdIy","","","01KB2CJ08CPSANWMSZQFNJVR7Y","",-1
"2025-11-27 10:08:19",1764238099576,"omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app/favicon.ico","GET","",-1,"dknv6-1764238098660-4ca7ca6b7eb6","vercel-screenshot/1.0","info","production","main","","lambda","/app.js","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","dpl_4wEcpgF3YhRsvXtnwbC9ivh1gexa",-1,"iad1",-1,-1,"[0mGET /favicon.ico [33m404 [0m4.349 ms - 150[0m","prj_qLiDwWP5oP9tBh8BODDush6bcdIy","","","01KB2CJ08CPSANWMSZQFNJVR7Y","",-1
